Unnamed: 0,Comment,Language,Sentiment
100,make subject interest,en,1
101,no elaboration,en,0
102,hard talk,en,-1
103,terrible teach,en,-1
104,strict good way,en,1
105,require material but doesnt use lecture,en,-1
106,passionate teach,en,1
107,late unprepared,en,-1
108,professional time joke,en,-1
109,good credential,en,1
110,favorite line competitive guys,tlen,1
111,dont know subject bore come student engagement,en,-1
112,observe university rule properly,en,1
113,sure pas give exercise possible teach case case,en,1
114,not mastery hisher teach,en,-1
115,give student time answer exercise provide answer review,en,1
116,give student deserve come grade,en,1
117,not student personal opinion,en,-1
118,enthusiastic teach speak teach clearly forgive,en,1
119,promote competition teach logical method,en,1
120,lack knowledge topic,en,-1
121,cant understand say,en,-1
122,bad teacher university possibly world,en,-1
123,good groom follow university norm,en,1
124,mastery heshe teach,en,1
125,handout good knowledgeable,en,1
126,feel sleepy feel excite,en,0
127,try improve day,en,1
128,announce quiz minute quiz,en,-1
129,puro freecut hehehe saktong freecut lang,tlen,-1
130,interactive approachable,en,1
131,wala akong tiwala opinion not supported claims studies,tlen,-1
132,know handle pressure time early possible dismiss class late possible,en,1
133,knowledgeable maraming visual aids slides,tlen,1
134,curly hair,en,0
135,engage student attentive student question make sure student understand lesson hand,en,1
136,choose joke not funny,en,-1
137,connect real life happen lesson,en,1
138,concern student mental health,en,1
139,teach religious subject yet mannerism like street girl,en,-1
140,best professor teach different case lesson grade fairly student make old bore subject interest,en,1
141,use new technique engage student,en,1
142,lot wisdom experience,en,1
143,start class prayer,en,1
144,dont know spell read kind teacher neither book nor powerpoint present follow,en,-1
145,care mental health student,en,1
146,sleep class,en,-1
147,instill discipline student,en,1
148,bore style year disappoint today,en,-1
149,accept friend request facebook,en,0
150,relate subject real world,en,1
151,force arent interest enjoy,en,-1
152,confuse unprofessional way act lose paper leave thing minute,en,-1
153,mahilig phrases play ear word cascade :),tlen,0
154,angry,en,-1
155,wear shade quiz test,en,0
156,hard understand lot jargon explanation,en,-1
157,share experience explain simplify lesson,en,1
158,give low grade,en,-1
159,professional inside outside classroom,en,1
160,shehim share knowledge student good comminication student,en,1
161,teach lesson relate life,en,1
162,encourage student good improve,en,1
163,call male student recite unfair,en,-1
164,respond email question student,en,1
165,dont know teach properly eat class no class little none effort,en,-1
166,doesnt understand concept subject,en,-1
167,mastery lesson teach lesson guide,en,1
168,inspire student perform good,en,1
169,doesnt come class regularly doesnt teach,en,-1
170,not entertain question,en,-1
171,considerate student,en,1
172,explain thoroughly,en,1
173,sir adjust pace teach couldnt catch,en,1
174,keep class entertain learn time,en,1
175,not worth tuition fee,en,-1
176,strict way suffocate student,en,-1
177,knowledge real world presently practical thinker,en,1
178,laugh feed mind cool stuff,en,1
179,doesnt properly answer student question,en,-1
180,professor chubby,en,0
181,strict make big fuss single detail,en,-1
182,great interactionrelationship student,en,1
183,not present doesnt teach material well unclear instructionslessons,en,-1
184,shes responsive question resourceful gain lot information shes accommodate nice,en,1
185,seldom come class infamous announce sickness yet challenge respect program professor,en,-1
186,get rude dont know human,en,-1
187,energetic class affect student thumb,en,1
188,teach highschool student,en,0
189,assort color marker teach,en,0
190,amonth pumapasok,tlen,-1
191,good ppts video,en,1
192,passion teach,en,1
193,look student,en,-1
194,good listener,en,1
195,use perfect time pronunciation teach,en,1
196,doesnt high grade deserve,en,-1
197,never leave student leave,en,1
198,teach lot philippine taxation system,en,1
199,rapport student strong dress go extra mile teach student lesson classroom get class interest cultural study actual conversation culture societal issue transcend class,en,1
200,bias,en,-1
201,fair grade student,en,1
202,manyak,tl,-1
203,marunong makisama klase,tl,1
204,nakakainis parang masungit nagagalit pag tinatanong tinuturo nya bang bawal kwestyunin,tlen,-1
205,galing niyo po mangbara sana ganun po pagtuturo,tl,-1
206,bobo mag turo alam mong manyak makatingin palang parang balak masama,tl,-1
207,nakikinig opinyon,tl,1
208,madadali pagsusulit,tl,1
209,kumpleto magturo,tl,1
210,sinisigurado naiintindihan tinuturo,tl,1
211,manyak akong prof,tlen,-1
212,dumadating tamang oras,tl,1
213,nakaupo lang sya madalas pagnagtuturo,tl,-1
214,nagagalit tuwing nagtatanong estudyante,tl,-1
215,ibat tinuturo estudyante walang kasiguraduhan tinuturo,tl,-1
216,bilis bilis magturo palagi parang hinahabol,tl,-1
217,masyadong mataas tingin,tl,-1
218,sobrang sungit,tl,-1
219,matamlay malungkot turo,tl,-1
220,mabait magaling magturo,tl,1
221,sobrang tamad magturo,tl,-1
222,natutulog lang klase,tl,-1
223,parang bata yung trato student,tlen,-1
224,marunong makisama klase,tl,1
225,walang nakakagets joke,tlen,-1
226,akala mo sinong napakagaling magturo eh sya lang rin naman nagagalingan sariling,tl,-1
227,dont exams di natututuro yung lessons,tlen,-1
228,panget hinahandang lessons hindi makabuluhan,tlen,-1
229,lang tono nang boses nakakaantok magturo,tl,-1
230,mainuuna trabaho kay hindi nakakapasok klase,tl,-1
231,bihira siyang absent,tlen,1
232,hindi pwedeng walang bumagsak klase,tl,-1
233,wala lugar magalit,tl,-1
234,matutong makibagay students di lang magadjust,tlen,-1
235,nawawala papel,tl,-1
236,pag ngumuya lang galit galit bawal bawal kumain,tl,-1
237,palautos,tl,-1
238,mabilis magsalita di nakakahabol students,tlen,-1
239,nadapa pag pasok,tl,0
240,hindi nang nirerelate yung tinuturo major naming,tlen,1
241,okay lang hindi pumasok klase,tl,-1
242,mukhang estudyante,tl,0
243,talagang matututo pag nagturo,tl,1
244,topak pag magalit,tl,-1
245,binababaaan yung vocabulary pagnagtuturo mas mabilis siyang naiinitindihan,tlen,1
246,kwela,tl,1
247,tinuring ama pangalawang magulang sobrang gaan loob estudyante masaya,tl,1
248,nagalit biglang umiyak nang walang dahilan maam,tl,-1
249,nautot malakas class natawa lang cool prof,tlen,1
250,hindi tumatanggap nang pagkakamali,tl,-1
251,tamad tamad magturo,tl,-1
252,bumabait pag binigyan pagkain,tl,1
253,nakakaumay magturo paulitulit,tl,-1
254,nakikinig opinyon,tl,1
255,walang pakialam hirap hirap students,tlen,-1
256,sobrang ganda,tl,1
257,di maayos manamit,tl,-1
258,nagtuturo hakbanghakbang sagot katanungan,tl,1
259,walang ginagamit visuals mahirap magnotes klase,tlen,-1
260,hindi nagtatanim nang galit magulo klase,tl,1
261,hindi matanggap nagkakamali,tl,-1
262,maayos natatanggap critisismo nagpapakabuti kagaganda pagtuturo buhay nya,tl,1
263,absent baduy damit,tlen,-1
264,parang si steph curry pag nagtuturo swak swak lagi anong hanap,tl,1
265,hindi iniisip nakakakopya ba nang notes basta buburahin lang,tlen,-1
266,kumakain panis giniling natuturo di natutuwa,tl,-1
267,malakas boses maam,tlen,0
268,merong matandang kalbo kala mo magaling,tl,-1
269,laging walang pasok klase,tl,-1
270,parang duda tinuturo,tl,-1
271,nagbabagsak estudyante,tl,-1
272,alam alam yung tinuturo,tl,1
273,nakakatawa magsalita,tl,0
274,maaasahan mo lang pag nasa loob nang klase,tl,-1
275,malabong magpaliwanag pagtuturo,tl,-1
276,sobrang galing magturo,tl,1
277,laging nagmamarunong di tumatanggap pagkakamali di makasama guro,tl,-1
278,wala siyang pake naiintindihan ba estudyante tinuturo,tl,-1
279,puro kwento wala namang kwenta,tl,-1
280,tinatama maling nakikita,tl,1
281,walang kinikilingan walang pinoprotektahan serbisyong totoo,tl,1
282,nakakaaliw magturo,tl,1
283,malakas boses,tl,0
284,masaya lang kasama malapit studyante siguro maraming tumuturing sakanyang kuya bayan,tl,1
285,lagi nakatambay dapitan,tl,0
286,walang tinuturo,tl,-1
287,parang nandoon lang kumita pera,tl,-1
288,galing kunin yung atensyon buong klase,tl,1
289,napakalupet sumama inuman di sumuko,tl,1
290,palagi nalang mainit ulo,tl,-1
291,mahilig magpamakeup class,tlen,1
292,maarte,tl,-1
293,ayaw magpaihi di alam,tl,-1
294,magulo magturo,tl,-1
295,kinikilala estudyante,tl,1
296,di tinuturo yung ginagamit trabaho,tl,-1
297,nagdadahilan siyang sakit gagala lang,tl,-1
298,hindi kilala pag nasa labas kayo nang klase,tl,-1
299,guro loob classroom kaibigan labas,tlen,1
300,mahina boses,tl,-1
301,hindi gamay itinuturo,tl,-1
302,bobo di alam sinusulat board nga di nakikinig kasi mali mali tinuturo,tlen,-1
303,present maganda manamit pumapasok,tlen,1
304,masungit pag inistorbo,tl,-1
305,stricto mabait mabait,tl,1
306,hindi nagtuturo,tl,-1
307,madaling maintindihan lessons,tlen,1
308,mabilis magturo mahirap magbigay quiz,tlen,-1
309,controlin yung klase sobrang gulo naming,tl,1
310,hindi naiintindihan sinasabi,tl,-1
311,magaling makisama estudyante,tl,1
312,nakakaantok magturo,tl,-1
313,mabilis magturo,tl,-1
314,nagpabili libro tapos hindi ginamit sayang pera,tl,-1
315,hindi tumutupad usapan,tl,-1
316,hindi nanakakatuwa yung biro,tl,-1
317,hindi nagyayabang dami nakamit buhay,tl,1
318,hindi garalgal magsalita,tl,1
319,lagi siyang late,tlen,-1
320,hina boses,tl,-1
321,madaling lapitan,tl,1
322,palagi minomotivate tuwing nahihirapan subject naming,tlen,1
323,hindi marunong mag turo laging walang kwenta pinagsasabi,tl,-1
324,di lang maganda magaling,tl,1
325,nakakaaliw mag turo,tl,1
326,nagagalit reason lagi kaming sinisisi tantrums everyday pag class,tlen,-1
327,walang pake opinyon estudyante,tl,-1
328,di mo alam anong aaralin important sinabi,tlen,-1
329,unique teaching style kumpara,tlen,1
330,pag nagdisscuss parang sobrang bilis lang nang oras,tl,1
331,walang natutunan klase,tl,-1
332,palagi panararamdam palagi siyang nandiyan pagka naming nang tulong,tl,1
333,hindi nambabagsak,tl,1
334,pinapakita samin okay lang manggulang nang,tlen,-1
335,maayos gamit,tl,1
336,amoy yosi,tl,-1
337,palagi iniisip yung load nagbibigay nang assignment,tlen,1
338,maraming presentations nakakabawi grade,tlen,1
339,mahilig mang parusa nang estudyante walang kadahilanan,tl,-1
340,mahirap magbigay tanong,tl,-1
341,hindi alam wala kaming naiintidhan tinuturo,tl,-1
342,galing sana eh masungit nga lang wala gana makinig,tl,-1
343,nakakaloka bangles,tlen,0
344,laging maaga klase ganado magturo,tl,1
345,stricto mabait mabait,tl,1
346,boses klaro,tl,1
347,walang pakialam basta makapagturo lang hindi naiintindihan estudyante,tl,-1
348,nanganak ngunit mukha rin siyang hindi nanganganak,tl,0
349,hindi nagsasabi pag hindi makakapasok,tl,-1
350,hindi matanggap mali,tl,-1
351,lagi nalang galit di naman magalit,tl,-1
352,nung months nakakaintimidate siua nagbago tuluyan,tlen,1
353,engage,en,1
354,hinahina nang boses,tl,-1
355,strikto magturo,tl,-1
356,kaibigan magturing estudyante,tl,1
357,mabagal magexplain mas lalo naming naiintidihan yung lecture,tlen,1
358,nagmumura class,tl,-1
359,sinisigurado naiintindihan estudyante nya tinuturo,tl,1
360,alam yung pangangailangan subject,tlen,1
361,pinapaturo estudyante yung magturo,tl,-1
362,napapatahimik estudyante,tl,1
363,inconsiderate namamahiya :(,tlen,-1
364,mahilig siyang magmura klase,tl,-1
365,hindi madaling magalit haba pasensya,tl,1
366,kaibigan labas nang klase proffesor loob nang klase,tl,1
367,ginagamit nakaraan pag tuturo,tl,1
368,okay sana eh kaso ubod naman sungit,tlen,-1
369,walang paki anong oras dumating,tl,-1
370,di pumapasok wala naman klase nya lagi naman siyang absent,tlen,-1
371,walang siyang salita,tl,-1
372,hindi alam alam ba talaga tinuturo tinatamad lang,tl,-1
373,mayabang matalino,tl,1
374,willing siyang ulitin lesson malabo estudyante,tlen,1
375,palagi siyang nagaalok nang tulong nahihirapan subject,tlen,1
376,araw araw dalang kape,tl,0
377,palaging presentable maayos,tlen,1
378,nakakapukaw si sir atensyon estudyante,tlen,1
379,galit babae,tl,-1
380,mahina boses walang gamit tinuturo trabaho,tl,-1
381,maganda sulat,tl,1
382,laging maaga klase kahangahanga galing pagtuturo,tl,1
383,wala siyang pakialam naiintindihan ba naming yung tinuturo,tl,-1
384,magaling mag turo keeps inspiring,tlen,1
385,palagi nakakalimutan kolectahin yung assignment,tlen,-1
386,absent,tlen,-1
387,sabay trip estudyante,tlen,1
388,laging absent huli student nagsusuffer kasi dami habulin,tlen,-1
389,di lumalabas yung tinuturo quiz nakakaantok klase,tlen,-1
390,smile nakakagood vibes,tlen,1
391,hindi detailed magturo biglang lumalabas anong line freebody diagram,tlen,-1
392,strict date requirements expects high performance students,tlen,-1
393,try approachable hirap kasi lang yung nagsasalita not able questions,tlen,-1
394,pamajor class maraming projects,tlen,-1
395,bastos no respect women bastos magsalita sexual innuendos kausap babae kadiri,tlen,-1
396,strict rules hindi naman nakakaffect performance students big deal rin,tlen,-1
397,mapapaisip talaga subject,tlen,1
398,time magaling magpaliwanag,tlen,1
399,single sided lang magturo,tlen,-1
400,nagpapanotes di lumalabas notes quizzes,tlen,-1
401,hindi alam lesson nya,tlen,-1
402,double purporse natututo mataas nakukuha mong grades :),tlen,1
403,close pag nasa classroom pag wala di naming maapproach,tlen,-1
404,maraming trivias alam tinuturo,tlen,1
405,maraming requirements hinihingi kada linggo,tlen,-1
406,inconsistent magulo,tlen,-1
407,parang sleeping pills effects nakakaantok,tlen,-1
408,magaling prof pinapadali yung lessons,tlen,1
409,unfair magbigay grades,tlen,-1
410,gulo train thought nawawala,tlen,-1
411,malawak kaalaman subject,tlen,1
412,nakakalimutan lagi nasabi nya yung joke nya meeting,tlen,0
413,mabait mahigpit requirements schedule,tlen,1
414,lang estudyante tinatawag pag recitation,tlen,-1
415,entertaining magturo mataas magbigay grade fatherly figure,tlen,1
416,damot grades,tlen,-1
417,sinisisi yung klase pagka badmood,tlen,-1
418,doctorate degree,tlen,1
419,madali magbigay quiz maraming examples binibigay project nagpapahatak grade,tlen,1
420,hindi marunong technology nagalit kasi hindi nagpoproduce sound yung projector,tlen,-1
421,hindi nagchecheck nang attendance,tlen,-1
422,fair students,tlen,1
423,maganda handa lessons makabuluhan,tlen,1
424,di kinaklaro yung directions,tlen,-1
425,bilis oras kasi masaya magturo si sir,tlen,1
426,hindi nagbibigay makeup quiz valid naman yung reason absence,tlen,-1
427,pili lang siyang tinatawag recitation,tlen,-1
428,rineport section di dumating minutes pagdating wala buong klase eh break nun,tlen,-1
429,yung totoo tres singko lang alam ibigay anong klaseng prof yan,tlen,-1
430,dinidiscuss nang maayos lessons mahirap intindihin clear rin,tlen,1
431,tulog lang nang tulog reporting,tlen,-1
432,madali magpaquiz,tlen,1
433,mabait supportive students,tlen,1
434,hindi nakakatuwa jokes pagnagturo okay galing naman,tlen,1
435,puro presentation walang turo,tlen,-1
436,mahilig precision,tlen,0
437,binibigyan time hours nagtatanong hindi nagets yung lesson,tlen,1
438,boring magturo,tlen,-1
439,mastered yung tinuturo hindi nagsasayang oras iniintindi rin students,tlen,1
440,best yung practical lessons,tlen,1
441,itsura yung professor,tlen,1
442,stricto requirements handa siyang tumulong,tlen,1
443,boring yung subject pinapaganda rin yung overall mood class telling jokes giving âhugotsâ funny,tlen,1
444,maayos magbigay quiz di lang puro memorize,tlen,1
445,sakit ulo binabasa lang yung sagot ppt,tlen,-1
446,biglabiglang nagkacancel quizexam,tlen,-1
447,absent walang naituro samin lesson upcoming prelims,tlen,-1
448,hindi malapitan consulation period,tlen,-1
449,ontime alam yung tinuturo laging nagbibigay reallife examples mas madaling maintindihan,tlen,1
450,nagpapapresentation maturo students ituro,tlen,-1
451,mabait madaling kausap prof,tlen,1
452,nagpapatawa lecture maraming binabahagi katotohanang bagay paksa,tlen,1
453,nakakahawa yung saya sir tuwing papasok classroom,tlen,1
454,naku :( sobra akong nahihirapansa challenging positive way :) hahahahah,tlen,-1
455,nagtuturo naman kaso nakakatamad pasukan commend professor,tlen,1
456,babang maggrade tas copypaste lang naman yung ppt,tlen,-1
457,passionate tinuturo ramdam mo talaga yung tinuturo hindi lang pera,tlen,1
458,nagbibigay si sir prizes pag mataas yung score mo quiz,tlen,1
459,late magpaquiz,tlen,-1
460,magaling makisama time maayos mag disiplina nakikinig sakanya,tlen,1
461,detailed teaching medyo strict submission specifications maganda output prof,tlen,1
462,ontime pumasok malasakit estudyante,tlen,1
463,palagi siyang nagaalok nang tulong nahihirapan subject,tlen,1
464,galit galit kasi labas nang labas eh sobrang wala kaming room hours yak,tlen,-1
465,strict tao sinasabi substance di lang,tlen,1
466,binigyan maam special project mahabol yung grade,tlen,1
467,magaling magturo malinaw delivery swabe lang,tlen,1
468,palagi sinisisi ibang professor yung pagkakamali,tlen,-1
469,magaling magturo malasakit students understanding,tlen,1
470,palagi minomotivate tuwing nahihirapan subject naming,tlen,1
471,tinanggal department,tlen,-1
472,magaling magturo theories man programming mo tulong pwede mo iapproach anytime,tlen,1
473,malalapitan personal problema,tlen,1
474,nakakapagod yung klase maraming practical tests,tlen,-1
475,religion class instead algorithm ituro,tlen,-1
476,hindi nang nirerelate yung tinuturo major naming,tlen,1
477,trinashtalk yung irregular student bumaba respeto,tlen,-1
478,nakakaoffend yung jokes mo sir,tlen,-1
479,vampire groot,en,0
480,bilis magturo hindi naman nagets students,tlen,-1
481,parang naguup lang yung jaws nagsasaltia di sya maintindihan,tlen,-1
482,nagpapaquiz items minutes kasama minutes yung pagstate questions,tlen,-1
483,pag nagdisscuss parang sobrang bilis lang nang oras,tlen,1
484,lagi siyang present klase di nalate siyang teacher sana magtagal unibersidad,tlen,1
485,puro stories connected naman,tlen,1
486,palagi iniisip yung load naming nagbibigay nang assignment,tlen,1
487,legendary building pangalan lang makamandag,tlen,1
488,hindi fair grades students,tlen,-1
489,nagpapaproject hindi naman related subject,tlen,-1
490,maganda gamit visuals,tlen,1
491,binabasa lang powerpoint,tlen,-1
492,pinepersonal estudyante,tlen,-1
493,tatawa lang tatawa but time di mo napapansin nanatututo lang,tlen,1
494,nagjojoke everyday magising class corny consistent,tlen,1
495,maraming inspirational quotes tumatagal mas naiinspire kaming students,tlen,1
496,liked barkada labas classroom nagtuturo,tlen,1
497,hindi marunong magpaquiz si maam eleap puro typo tapos mali mali yung checking,tlen,-1
498,natutulog lang pag nagrereport kayo,tlen,-1
499,chix akong prof,tlen,1
500,namimigay flat tops di naman seryoso klase philnits :),tlen,1
501,nanghuhula nang grade,tlen,-1
502,tambay seven,tlen,0
503,mahilig magparemovals,tlen,1
504,sinisisi yung marker typo board,tlen,-1
505,walang flow yung tinuturo,tlen,-1
506,hindi madamot grade,tlen,1
507,yung lumalabas quiz layo tinuro,tlen,-1
508,prelims finals alam bawal kausapin students ichecheer day brighter dilim napakahirap subject mo,tlen,1
509,palagi siyang nang babati pag nasa labas nang classroom,tlen,1
510,palagi siyang nagsastutter alam mong alam yung tinuturo problem hindi maibaba level student yung way teaching,tlen,-1
511,napupunta lesson pag nag eexplain,tlen,-1
512,palagi siyang late,tlen,-1
513,kaming kinder puro games lang lagi meeting wala naman kaming natututunan maam,tlen,-1
514,mahirap magbigay problem high expectation students,tlen,-1
515,sinisigurado follow lecture,tlen,1
516,mahirap magpaquiz,tlen,-1
517,palagi kinoconnect life yung lessons,tlen,1
518,buong finals period di pumasok walang nakakaintindi tinuturo,tlen,-1
519,alam tinuturo hindi pretentious,tlen,1
520,friendly approachable motivated students,tlen,1
521,sobrang stressed subject napansin wag daw kalimutan yung okay lang mapagod naiintindihan pinagdadanaan students,tlen,1
522,laging delay schedule,tlen,-1
523,di nakitang nakangiti demonyo ata di pinapakain oras yung class,tlen,-1
524,sobrang entertaining matawa class,tlen,1
525,madami siyang ways present lesson,tlen,1
526,hirap seatworks assignments pag dating quiz madalina galing,tlen,1
527,hinhin super hina boses,tlen,-1
528,sasabihin assignment wala naman siyang binigay,tlen,-1
529,consideration students itsura,tlen,-1
530,parating ginagamit cellphone,tlen,-1
531,alam yung pangangailangan naming subject,tlen,1
532,halatang halata forte yung tinuturo,tlen,1
533,taeng tae ayaw palabasin kasi exams raw di mandadaya maam natatae lang talaga,tlen,-1
534,binababaaan yung vocabulary pagnagtuturo mas mabilis siyang naiinitindihan,tlen,1
535,masungit magturo di nagbibigay consideration estudyante di ginagamit yung powerpoint binibigay,tlen,-1
536,nanghuhula grade si maam,tlen,-1
537,merong baklang prof namemersonal,tlen,-1
538,consistent magturo based book good teaching style,tlen,1
539,ayaw ayaw nyang tinatama example mali yung check quiz nagagalit,tlen,-1
540,puro reporting hindi nagtuturo nagtuturo sumusweldo lang,tlen,-1
541,laging absent yay,tlen,-1
542,mahilig magjoke gitna lecture marunong makisama students,tlen,1
543,maraming life lessons matututunan class,tlen,1
544,marunong magturo ginagawang compulsory recitation,tlen,-1
545,hindi nagrerespond email,tlen,-1
546,hours pinagkakasiya yung maraming lesson powerpoint slides minimum,tlen,-1
547,maraming visual guides gives additional points students reciting,tlen,1
548,bumili coke gate,tlen,0
549,nasosobrahan kwento tagal naming matapos chapter,tlen,-1
550,hindi namimigay nang points kinaiinisan estudyante,tlen,-1
551,teaching passion galing,tlen,1
552,maraming examples tinuturo nagbibigay equal chances recitation,tlen,1
553,hindi mawawala yung topic good virtues pag nagtuturo,tlen,1
554,maayos magpaquiz quiz tinuro sinabi need aralin,tlen,1
555,bigtime si sir,tlen,0
556,matalinong guro pwedeng kaibigan madaling lapitan favorite line ipagpepray kita anak kelangan competitive guys singko anak,tlen,1
557,sobrang naeengage pag nagtuturo,tlen,1
558,nagustuhan yung subject,tlen,1
559,pagka manyak sexual innuendos pag nagdidiscuss,tlen,-1
560,galing daming assignments seatworks nagegets,tlen,1
561,organized lectures sees nasusunod schedule pinost lecturequizswhw,tlen,1
562,madaling kausap prof,tlen,1
563,maraming incentives related rin naman course,tlen,1
564,feeling matalino di nakikinig suggestions students,tlen,-1
565,memorization lang yung subject networking,tlen,-1
566,mataas magbigay grade students,tlen,1
567,kaibigan labas nang klase professor loob nang klase,tlen,1
568,mahirap magpatest natuturo nang maigi parang dumadali yung tests,tlen,1
569,nagbibigay nang makeup test walang valid reason pagka absent nang estudyante,tlen,1
570,walang sinabi sinabi si david blaine harry potter dumbledore profna tom galing magmagic grades,tlen,-1
571,support evidences opinion stated lalo nag iincrease tiwala,tlen,1
572,dont know whats problem super sungit namemersonal,tlen,-1
573,magaling naman siyang magturo madaling lapitan kaso mahirap makipagsched meeting thesis kasi palaging busy,tlen,-1
574,magaling magturo pinagbibigyan estudyante magturo nagkakamali pag nagcorrect tinatanggap,tlen,1
575,pinapaenjoy yung subject students diverse pagturo,tlen,1
576,yung klase prof mahilig babae mas pinapaboran nga estudyante babae lalo maganda sure pass,tlen,-1
577,laging nakastarbucks,tlen,0
578,manyak doesnt follow schedules,tlen,-1
579,napakaganda nya di kumukupas walang araw di nagturo higit di nagpapaquiz mahirap laging sure pass,tlen,1
580,mentor time hindi lang basta teacher,tlen,1
581,boring magturo,tlen,-1
582,masaya magaling magturo yung tipong makukuha mo talaga yung lesson kasi ituturo yung possible examples pwedeng mag pop,tlen,1
583,parang hindi forte yung tinuturo hindi magaling subject magaling cisco,tlen,-1
584,hindi student concern rin status mo students regular rin ba failing grades,tlen,1
585,gives guide defense defense day makes laglag forn profs,tlen,-1
586,hindi ineentertain labas nang klase,tlen,-1
587,let students appreciate subject teaches di nambabagsak student,tlen,1
588,prof super nakakaconnect saming students,tlen,1
589,maraming kwento life nirerelate lessons interesting lessons,tlen,1
590,sinabi makanyang limitasyon nagkakaintindihan student professors,tlen,1
591,superman dami tinuturuan but manages know,tlen,1
592,nagdala si sir sobrang daming sardinas klase,tlen,0
593,not grade fairly puro tres singko lang,tlen,-1
594,strict nga wala pang substance wag magturo sir,tlen,-1
595,madalas man siyang late galing naman magturo sobra,tlen,1
596,accurate definite magturo hindi lang,tlen,1
597,finollow twitter,tlen,0
598,wala siyang pakialam nagchecheating,tlen,-1
599,handson estudyante,tlen,1
600,lagi mang late naiintindihan naman naming yung tinuturo,tlen,1
601,pwede kumain class,tlen,1
602,sense fashion mahilig fitted shirt jeans,tlen,1
603,visual magturo explain things application,tlen,1
604,prof ggss gandang ganda,tlen,-1
605,madalas late pinakita rin ganda history pilipinas mahusay talaga,tlen,1
606,lagi siyang nakikita naglalakad main building,tlen,0
607,puro basa ppt,tlen,-1
608,puro kwento joke nauubos yung time sana discussion,tlen,-1
609,mahusay guro makakarelate sinasabe nya,tlen,1
610,magaling sana magturo kaso palaging absent,tlen,-1
611,di nag papaattendance,tlen,-1
