,Comment,Language,Sentiment
323,Hindi marunong mag turo at laging walang kwenta ang kanyang pinagsasabi,tl,-1
324,"Di lang maganda, magaling pa!",tl,1
325,Siya ay nakakaaliw mag turo.,tl,1
326,Nagagalit without reason lagi kaming sinisisi. Tantrums everyday pag class niya. A,tlen,-1
327,Walang pake sa opinyon ng estudyante,tl,-1
328,Di mo na alam kung anong aaralin or kung ano important sa sinabi niya.,tlen,-1
329,Has unique teaching style kumpara sa iba,tlen,1
330,Pag nagdisscuss na siya parang sobrang bilis lang nang oras,tl,1
331,Walang natutunan sa klase niya,tl,-1
332,Palagi niyang panararamdam na palagi siyang nandiyan pagka kailangan naming nang tulong,tl,1
333,Hindi nambabagsak <3,tl,1
334,Pinapakita niya samin na okay lang manggulang nang iba.,tlen,-1
335,Maayos siya sa gamit.,tl,1
336,Amoy yosi,tl,-1
337,Palagi niya iniisip yung load namin bago siya nagbibigay nang mga assignment.,tlen,1
338,Maraming presentations na nakakabawi ng grade,tlen,1
339,Mahilig siya mang parusa nang estudyante sa walang kadahilanan.,tl,-1
340,Mahirap magbigay ng mga tanong,tl,-1
341,Hindi niya alam na wala kaming naiintidhan sa mga tinuturo niya.,tl,-1
342,"Ang galing sana niya eh, masungit nga lang, kaya wala na kami gana makinig.",tl,-1
343,nakakaloka ang kanyang bangles,tlen,0
344,"Laging maaga sa klase, ganado magturo.",tl,1
345,Stricto siya pero mabait kung mabait.,tl,1
346,Boses niya ay klaro,tl,1
347,Walang pakialam basta makapagturo lang kahit hindi naiintindihan ng estudyante,tl,-1
348,nanganak na siya ngunit mukha pa rin siyang hindi pa nanganganak,tl,0
349,Hindi nagsasabi pag hindi siya makakapasok,tl,-1
350,hindi niya matanggap na mali siya,tl,-1
351,Lagi nalang galit kahit di naman dapat magalit,tl,-1
352,Nung first months nakakaintimidate siua pero din nagbago siya ng tuluyan.,tlen,1
353,Engaging,en,1
354,Ang hinahina nang boses niya.,tl,-1
355,Strikto magturo.,tl,-1
356,Kaibigan kung magturing sa estudyante,tl,1
357,Mabagal siya magexplain kaya mas lalo naming naiintidihan yung lecture.,tlen,1
358,nagmumura sa class,tl,-1
359,Sinisigurado niyang naiintindihan ng mga estudyante nya mga tinuturo niya.,tl,1
360,Alam niya yung pangangailangan namin sa subject niya.,tlen,1
361,Pinapaturo sa mga estudyante niya yung mga kailangan na dapat siya magturo.,tl,-1
362,Napapatahimik niya ang mga estudyante,tl,1
363,"he is inconsiderate, namamahiya pa :(",tlen,-1
364,Mahilig siyang magmura sa klase.,tl,-1
365,"Hindi madaling magalit, ang haba ng pasensya.",tl,1
366,Kaibigan siya sa labas nang klase at proffesor sa loob nang klase.,tl,1
367,ginagamit ang nakaraan niya sa pag tuturo,tl,1
368,"Okay na sana eh, kaso ubod naman ng sungit.",tlen,-1
369,Walang paki kung anong oras dumating,tl,-1
370,minsan di na kami pumapasok dahil wala naman ginagawa sa klase nya at lagi naman siyang absent,tlen,-1
371,Walang siyang isang salita.,tl,-1
372,hindi ko alam kung alam ba niya talaga tinuturo niya or tinatamad lang.,tl,-1
373,mayabang pero matalino,tl,1
374,Willing siyang ulitin ang lesson na malabo sa estudyante.,tlen,1
375,Palagi siyang nagaalok nang tulong kapag ka nahihirapan na kami sa subject niya.,tlen,1
376,Araw araw may dalang kape,tl,0
377,Palaging presentable at maayos sa sarili,tlen,1
378,Nakakapukaw si Sir ng atensyon ng estudyante.,tlen,1
379,Galit sa babae.,tl,-1
380,Mahina ang boses. Walang gamit ang tinuturo sa trabaho,tl,-1
381,Maganda ang kanyang sulat.,tl,1
382,"Laging maaga sa klase, kahangahanga ang galing niya sa pagtuturo. ",tl,1
383,Wala siyang pakialam kung naiintindihan ba naming yung tinuturo niya.,tl,-1
384,Magaling mag turo and keeps inspiring us,tlen,1
385,Palagi niyang nakakalimutan kolectahin yung assignment.,tlen,-1
386,Absent pa more,tlen,-1
387,Sabay sa trip ng mga estudyante,tlen,1
388,Laging absent kaya sa huli student nagsusuffer kasi dami kailangan habulin,tlen,-1
389,Di lumalabas yung mga tinuturo niya sa quiz. Nakakaantok klase niya.,tlen,-1
390,"She always smile, kaya nakakagood vibes.",tlen,1
391,"Hindi detailed mag-turo, out of nowhere biglang may lumalabas na kung anong line sa free-body diagram namin.",tlen,-1
392,Strict sa mga due date ng mga requirements. Expects high performance from his students,tlen,-1
393,"Try to be more approachable, hirap kasi na siya lang yung nagsasalita, we were not able to give our questions",tlen,-1
394,Pa-major ang class niya. Maraming projects,tlen,-1
395,Bastos no respect to women bastos magsalita na may sexual innuendos kapag kausap babae. Kadiri,tlen,-1
396,Very strict sa rules hindi naman nakakaffect sa performance ng students pero big deal pa rin sa kanya.,tlen,-1
397,Mapapaisip ka talaga sa subject niya,tlen,1
398,on time at magaling magpaliwanag,tlen,1
399,Single sided lang siya magturo.,tlen,-1
400,Nagpapanotes pero di lumalabas ang notes sa quizzes.,tlen,-1
401,Hindi niya alam ang lesson nya.,tlen,-1
402,"Kaya double purporse na, natututo ka na, mataas pa nakukuha mong grades. :)",tlen,1
403,"Close pag nasa classroom, pag wala na di na naming maapproach.",tlen,-1
404,Maraming trivias na alam sa tinuturo niya,tlen,1
405,Maraming requirements na hinihingi kada linggo.,tlen,-1
406,"Inconsistent, iba iba magulo",tlen,-1
407,"Parang sleeping pills sa effects, nakakaantok.",tlen,-1
408,Magaling siya na prof at pinapadali yung lessons,tlen,1
409,Unfair magbigay ng grades,tlen,-1
410,"ang gulo ng train of thought niya, nawawala kami",tlen,-1
411,Malawak ang kaalaman sa subject.,tlen,1
412,nakakalimutan niya lagi na nasabi na nya yung joke nya last meeting.,tlen,0
413,mabait pero mahigpit sa requirements at schedule,tlen,1
414,Isa lang na estudyante ang tinatawag pag recitation.,tlen,-1
415,Entertaining magturo. Mataas magbigay ng grade. Fatherly figure.,tlen,1
416,Ang damot niya sa grades.,tlen,-1
417,Sinisisi niya yung klase namin sa pagka badmood niya.,tlen,-1
418,May doctorate degree,tlen,1
419,Madali magbigay ng quiz. Maraming examples na binibigay. May project na nagpapahatak ng grade.,tlen,1
420,Hindi marunong sa technology. Nagalit kasi hindi nagpoproduce ng sound yung projector.,tlen,-1
421,Hindi siya nagchecheck nang attendance.,tlen,-1
422,Fair sa lahat ng students,tlen,1
423,maganda at handa ang lessons at makabuluhan,tlen,1
424,Di kinaklaro yung directions,tlen,-1
425,Ang bilis ng oras kasi masaya magturo si sir,tlen,1
426,Hindi nagbibigay ng make-up quiz kahit valid naman yung reason ng absence,tlen,-1
427,May mga pili lang siyang tinatawag sa recitation.,tlen,-1
428,"rineport niya once section namin dahil di siya dumating before 15 minutes at pagdating niya wala ng buong klase, eh break na namin after nun.",tlen,-1
429,"Yung totoo, tres o singko lang ang alam na ibigay, anong klaseng prof, yan?",tlen,-1
430,Dinidiscuss nang maayos lessons kahit mahirap intindihin clear pa rin,tlen,1
431,Tulog lang nang tulog habang reporting,tlen,-1
432,Madali magpaquiz,tlen,1
433,Mabait at supportive sa mga students,tlen,1
434,"Hindi nakakatuwa mga jokes niya, pero pagnagturo, okay ang galing naman.",tlen,1
435,Puro presentation walang turo,tlen,-1
436,mahilig siya sa PRECISION,tlen,0
437,Binibigyan niya kami ng time after hours kapag nagtatanong kami and hindi ko nagets yung lesson.,tlen,1
438,Ang boring niya magturo.,tlen,-1
439,Mastered na niya yung tinuturo niya at hindi siya nagsasayang ng oras. Iniintindi rin niya ang mga students niya.,tlen,1
440,The best yung mga practical lessons.,tlen,1
441,May itsura yung professor.,tlen,1
442,stricto sa mga requirements pero handa siyang tumulong,tlen,1
443,"Kahit na boring yung subject, pinapaganda pa rin niya yung overall mood ng class by telling jokes or giving some âhugotsâ na funny.",tlen,1
444,Maayos magbigay ng quiz di lang puro memorize,tlen,1
445,"Sakit sa ulo, binabasa niya lang din yung sagot sa ppt.",tlen,-1
446,Bigla-biglang nagka-cancel ng quiz/exam.,tlen,-1
447,Always Absent (Walang naituro samin kahit 1 lesson sa upcoming prelims),tlen,-1
448,Hindi siya malapitan sa consulation period niya.,tlen,-1
449,"Gusto niya lahat on-time, alam niya yung tinuturo niya at laging nagbibigay ng real-life examples para mas madaling maintindihan.",tlen,1
450,Nagpapapresentation para maturo ng students mga dapat niyang ituro,tlen,-1
451,siya mabait at madaling kausap na prof,tlen,1
452,Nagpapatawa during lecture. Maraming binabahagi na katotohanang bagay tungkol sa paksa,tlen,1
453,Nakakahawa yung saya ni sir tuwing papasok siya ng classroom,tlen,1
454,"Naku! :( sobra akong nahihirapansa kanya, he is very challenging in a very positive way :)))))))) HAHAHAHAH!",tlen,-1
455,Nagtuturo naman kaso minsan nakakatamad pasukan all in all i commend him as a professor,tlen,1
456,babang mag-grade tas copy-paste lang naman yung ppt niya,tlen,-1
457,Passionate sa tinuturo. Ramdam mo talaga na gusto niya yung tinuturo niya hindi lang gusto ng pera,tlen,1
458,Nagbibigay si sir ng prizes pag mataas yung score mo sa quiz,tlen,1
459,Late magpaquiz,tlen,-1
460,Magaling makisama and at the same time maayos mag disiplina kaya lahat nakikinig sakanya,tlen,1
461,Very detailed in teaching. Medyo strict in submission specifications pero maganda ang output kapag siya ang prof,tlen,1
462,On-time pumasok. May malasakit sa mga estudyante niya.,tlen,1
463,Palagi siyang nagaalok nang tulong kapag ka nahihirapan na kami sa subject niya,tlen,1
464,Galit na galit kasi labas kami nang labas eh sobrang wala kaming ginagawa sa room ng 3 hours yak,tlen,-1
465,Strict na tao pero lahat ng sinasabi niya full of substance di lang kung ano ano,tlen,1
466,Binigyan ako ni maam ng special project para mahabol yung grade ko <3,tlen,1
467,Magaling siya magturo at malinaw ang kanyang mga delivery. SWABE LANG!,tlen,1
468,Palagi niyang sinisisi sa ibang professor yung pagkakamali niya,tlen,-1
469,"Magaling magturo, may malasakit sa students and very understanding, all in one.",tlen,1
470,Palagi niya kami minomotivate tuwing nahihirapan na kami sa mga subject naming.,tlen,1
471,Tinanggal na sa department namin,tlen,-1
472,Magaling magturo ng theories man or programming and kapag kailangan mo ng tulong niya pwede mo iapproach anytime.,tlen,1
473,Malalapitan kahit personal na problema,tlen,1
474,Nakakapagod yung klase niya. Maraming practical tests.,tlen,-1
475,Naging religion class instead na algorithm ang ituro.,tlen,-1
476,"Hindi katulad nang iba, nirerelate niya yung tinuturo niya sa major naming",tlen,1
477,Trinashtalk yung irregular na student. Bumaba respeto ko sa kanya.,tlen,-1
478,Minsan nakakaoffend na yung jokes mo sir,tlen,-1
479,she is a vampire and she is groot.,en,0
480,bilis niya magturo pero hindi naman nagets ng students.,tlen,-1
